uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
12120,640766.5247,581036.9855,-87.5655935216174,41.7152342242664,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,13.15422249,Yes,No,838.025102,10.15207648,NS
12119,640749.4167,570764.4998,-87.5591849733626,41.6228261347319,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.43475246,No,No,835.0349478,9.988143832,NS
12118,640747.8115,553777.3852,-87.5483116276049,41.4700031294208,4.332256794,315,12.53155231,13.7948513,32.87708282,12.81914616,54.30377197,18.3809185,6.57410717,No,No,861.4028677,9.754157927,N
12117,640735.8647,549179.5079,-87.5455154177191,41.4286277330525,3.427397728,296.565033,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,6.430571079,Yes,No,868.2489435,9.699483336,W
12116,640724.101,569955.3254,-87.5589680002151,41.6155349999455,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.43475246,No,No,835.0349478,9.988143832,NS
12115,640688.5414,569156.9044,-87.5588806389514,41.6083355834493,0,NA,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.43475246,Yes,No,835.0349478,9.988143832,NS
12114,640665.4186,547565.844,-87.5453256768237,41.4140742351073,3.06628871,180,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,6.67034483,Yes,No,874.4063574,9.717709309,S
12113,640652.9817,568358.4834,-87.5587932997115,41.6011360999201,0,NA,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.43475246,Yes,No,835.0349478,9.988143832,NS
12112,640616.1077,567552.9446,-87.5587171405462,41.5938718846058,6.115113735,270,0.815923572,23.84466171,28.94119835,11.02559376,60.03320694,28.45300102,5.509119987,Yes,Yes,835.0349478,9.988143832,W
12111,640608.7298,545948.0864,-87.544969265121,41.3994902405411,0,NA,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,10.21023369,Yes,No,874.4063574,9.717709309,NS
12110,640579.2337,566747.4057,-87.5586409996315,41.586607600025,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.35961151,Yes,No,842.9424104,9.878324335,NS
12109,640541.8114,565944.6738,-87.5585732415232,41.5793682338661,0,NA,0.250881702,25.05568314,47.05135727,10.53282738,42.41581726,11.89474201,10.47591496,Yes,No,842.9424104,9.878324335,NS
12108,640529.0723,544325.1599,-87.5448837167848,41.3848483905568,8.681566238,217.8749847,12.53255939,13.82870579,33.04504395,12.73818493,54.21677017,18.38061142,5.313636303,No,No,874.4063574,9.717709309,S
12107,640504.3891,565141.9419,-87.5585054996495,41.5721287996294,0,NA,0.432650566,14.88426495,27.83288193,36.52305984,35.64405823,20.14566994,7.636681557,Yes,No,842.9424104,9.878324335,NS
12106,640466.1726,564336.8224,-87.5584457429151,41.5648674346414,0,NA,0.432650566,14.88426495,27.83288193,36.52305984,35.64405823,20.14566994,10.92987728,Yes,No,842.9424104,9.878324335,NS
12105,640459.6539,542742.4344,-87.5447017474046,41.3705729304842,1.085003257,315,4.213815689,138.4060516,1.790460467,0.438486844,2.771052599,59.00550079,10.67895222,Yes,No,879.1803318,9.738507651,N
12104,640427.9425,563531.6902,-87.5583861550788,41.5576058801634,0,NA,2.510526419,24.02459145,35.7114563,17.97481346,46.31372833,27.35560036,11.32661343,Yes,No,842.9424104,9.878324335,NS
12103,640390.4651,562712.3624,-87.5583084654238,41.5502169126385,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.32661343,Yes,No,842.9424104,9.878324335,NS
12102,640388.6136,541129.9238,-87.5445202037034,41.3560283873469,8.414146423,354.8055725,4.213815689,138.4060516,1.790460467,0.438486844,2.771052599,59.00550079,5.441107273,Yes,No,879.1803318,9.738507651,N
12101,640374.9167,579651.1663,-87.5693961369869,41.7025801787404,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,12.75748634,No,No,833.7482114,10.20946428,NS
12100,640352.5434,561893.6453,-87.55823650053,41.5428331533611,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,10.82866287,Yes,No,852.9059044,9.819212545,NS
12099,640312.6056,589974.9638,-87.5768158771137,41.7954013005032,0,NA,0,4.847423077,6.674067974,82.45778656,10.8681469,12.43458366,9.704313278,No,No,854.6051529,10.15290842,NS
12098,640309.3557,539510.3716,-87.5444322133559,41.3414162353121,3.06628871,90,1.59288156,17.82932281,22.00954437,32.13941193,45.8510437,29.28969955,5.56299305,Yes,No,879.1803318,9.738507651,E
